PUBLISHER_NAME,error,results_manual,PUBLISHER_MODE,PUBLISHER_URL,PUBLISHER_PAGES,PUBLISHER_PAGES_NR,PUBLISHER_RESULTS_NODE,PUBLISHER_RESULTS_REGEX,PUBLISHER_RESULTS_ADDCODE_YESNO,PUBLISHER_RESULTS_ADDITIONAL_CODE,PUBLISHER_RESULTS_PER_PAGE,PUBLISHER_PAGE_URL_BEFORE,PUBLISHER_PAGE_URL_AFTER,PUBLISHER_PAGE_I,JOURNALNAME_CSS,JOURNALNAMES_ADDCODE_YESNO,JOURNALNAMES_ADDITIONAL_CODE,JOURNAL_URL_NODES,JOURNALURL_ADDCODE_YESNO,JOURNALURL_ADDITIONAL_CODE,JOURNALURL_PASTE,COMMENT,OTHER
International Islamic University Malaysia,,31,rvest,https://journals.iium.edu.my/v2/index.php/journallist/,single,single,,,0,,,,,,div.entry-content > table td a,0,,div.entry-content > table td a,0,,,,
International Knowledge Press,,23,rvest,https://www.ikprress.org/index.php/index/journals,single,,,,,,,,,,#main-content > div p a,,,,,,,,
International Medical Publisher,,8,rvest,http://imed.pub/ojs/,single,single,,,,,,,,,div.body > h3 > a,0,,div.body > h3 > a,0,,,,
International Press,,27,,https://www.intlpress.com/site/pub/pages/journals/_home/_default/index.php,,,,,,,,,,,td.listingtext div.list_item a,,,,,,,,
International Scholars Journals,,,rvest,https://internationalscholarsjournals.org/journals/,single,single,,,0,,,,,,dl.journals > dd > a > span:first-child,0,,dl.journals > dd > a,0,,https://internationalscholarsjournals.org/,fine,
Internet Scientific Publications,,86,rvest,http://ispub.com/journals,single,,,,,,,,,,div.main_content h3 > a,,,div.main_content h3 > a,,,,,
IOP Publishing,,,rvest,https://ioppublishing.org/publications/our-journals/,single,single,,,0,,,,,,,,,,,,,COMPLICATED (CROSSREF CODE DUE TO ISSN-ONLY),
IOS Press,,,rvest,https://www.iospress.nl/catalogue/journals/,MULTIPLE,UNKNOWN,#block-rocketship-theme-starter-content > article > div > div.layout--rs-content.layout.layout-section.layout--label-body > div > div > div > div > div > div > details > div > div > div > div:nth-child(3) > div > div > ul > li:nth-child(4) > a > span.facet-item__count,[[:digit:]]+,0,,12,https://www.iospress.com/catalog?f%5B0%5D=type%3Ajournal&page=,,i-1,div.content h2 > a,0,,div.content h2 > a,0,,https://www.iospress.com,fine,
IP Innovative Publication,,51,rvest,https://www.ipinnovative.com/journals,single,single,,,0,,,,,,#myTable_journal_title td > a,0,,#myTable_journal_title td > a,0,,,,
Islamic Azad University,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Istanbul University Press,,57,rvest,http://iupress.istanbul.edu.tr/en/search/journal,single,single,,,0,,,,,,div.title-container > h5,0,,div.card a.card-link-container,0,,http://iupress.istanbul.edu.tr,,
IWA Publishing,,15,,https://www.iwapublishing.com/journals,,,,,,,,,,,h4 span.listing-headline,,,,,,,,
Izdatel'stvo Meditsina Publishers,,25,,https://www.medlit.ru/en/journals/,,,,,,,,,,,div.index_catalog > ul > li a.h1,,,,,,,,
Jacob Publishers,??? 404,,,,,,,,,,,,,,,,,,,,,,
Jagiellonian University Press,,89,RSelenium,https://wuj.pl/en/journals,single,single,,,0,,,,,,a.book__container,0,,a.book__container,0,,,,
JAMA,,,rvest,https://jamanetwork.com/,single,single,,,0,,,,,,div.nav-journals > div a,0,,div.nav-journals > div a,0,,https://jamanetwork.com,fine,
Japan Society of Mechanical Engineers/Nihon Kikai Gakkai,,1,,https://www.jsme.or.jp/publication/kaisi/,,,,,,,,,,,,,,,,,,,
JMIR Publications,,31,,https://www.jmir.org/,,,,,,,,,,,,,,,,,,,
John Benjamins,,,rvest,https://benjamins.com/catalog/serials/current,single,single,,,0,,,,,,h1.bktitle > a,1,"journalnames <- gsub(""""\n"""", """":"""", journalnames); journalnames <- stringr::str_squish(journalnames)",h1.bktitle > a,0,,https://benjamins.com/,fine,
John Hopkins University Press,,,rvest,https://www.press.jhu.edu/journals/browse,single,single,,,0,,,,,,div.view-content > div.views-row > a,0,,div.view-content > div.views-row > a,0,,https://www.press.jhu.edu,fine,
JSciMedCentral,,,rvest,https://www.jscimedcentral.com/journals.php,single,single,,,0,,,,,,div.tab_container > div.tab_content td > div > a,1,"journalnames <- journalnames[!journalnames %in% """"Home Page""""]",div.tab_container > div.tab_content td > div > a,0,,https://www.jscimedcentral.com/,fine,
Juniper Publishers,,75,rvest,https://juniperpublishers.com/journals.php,single,single,,,0,,,,,,div.journal-content h3 > a,0,,div.journal-content h3 > a,0,,,,
Juta,,,rvest,https://juta.co.za/law/juta-law-journals/,single,single,,,0,,,,,,.container > table.no-header > tbody > tr > td:nth-child(1) a,0,,.container > table.no-header > tbody > tr > td:nth-child(1) a,0,,https://juta.co.za,fine,
Kamla-Raj Enterprises,,23,,http://www.krepublishers.com/,,,,,,,,,,,div.journals_part_right > ul li a,,,,,,,,
KARE Publisher,,33,,http://www.karepb.com/,,,,,,,,,,,,,,,,,,,
Karger,,,rvest,https://www.karger.com/Journal/IndexListAZ,single,single,,,0,,,,,,#mainContent div.destinations > ul > li,1,journalnames <- stringr::str_squish(journalnames),#mainContent div.destinations > ul > li > a,0,,https://www.karger.com/,fine,
Karolinum Press,,20,,https://karolinum.cz/en/journals/list,,,,,,,,,,,section.articleList a h2,,,,,,,,
KeAi,,,rvest,http://www.keaipublishing.com/en/journals/,single,single,,,0,,,,,,ul.list-unstyled > li.mb-1 > a,0,,ul.list-unstyled > li.mb-1 > a,0,,https://www.keaipublishing.com,fine,
Kowsar Publishing Company,??? Under construction,,,https://brieflands.com/kowsarmedical-publishing-company/pages/journals.html,,,,,,,,,,,,,,,,,,,
Lattice Science Publication,,22,rvest,https://www.latticescipub.com/journals/,single,single,,,0,,,,,,a strong em,,,,,,,,
Lavoisier,,,rvest,https://www.revuesonline.com/portail/,single,single,,,0,,,,,,#portail > ul > li > h4 > a,1,"journalnames <- stringr::str_remove(journalnames, """"^[0-9]+"""")",#portail > ul > li > h4 > a,0,,,fine,
L'Expansion Scientifique Francaise,??? no webpage found,,,,,,,,,,,,,,,,,,,,,,
Libbey,,,rvest,https://www.jle.com/en/revues/index.phtml,single,single,,,0,,,,,,#col_content article > div.texte > h3 > a,0,,#col_content article > div.texte > h3 > a,0,,https://www.jle.com,fine,
Liverpool University Press,,,rvest,https://www.liverpooluniversitypress.co.uk/journals/browse-our-journals,single,single,,,0,,,,,,ul.relaxed >li > div > a,1,"journalnames <- stringr::str_extract(journalnames, """"^.*(?= \\|)"""")",ul.relaxed >li > div > a,0,,https://www.liverpooluniversitypress.co.uk,fine,
Lodz University Press,,35,rvest,https://wydawnictwo.uni.lodz.pl/serie/,single,single,,,,,,,,,#menu-item-72241 ul > li a,0,,#menu-item-72241 ul > li a,0,,,,
Longdom,,,RSelenium,https://www.longdom.org/journals-by-title.html,single,single,,,0,,,,,,a.deep-orange-400-before,0,,a.deep-orange-400-before,0,,,fine,
Lupine Publishers LLC,,45,rvest,https://lupinepublishers.com/journals.php,single,single,,,0,,,,,,h3.journal-name,0,,h3.journal-name > a,0,,,,
Macrothink,,,rvest,http://macrothink.org/journal/,single,single,,,0,,,,,,#intro > table > tbody > tr > td a,0,,#intro > table > tbody > tr > td a,0,,,fine,
Mark Allen Group,,,rvest,https://www.magonlinelibrary.com/action/showPublications?pubType=journal&pageSize=50,single,single,,,0,,,,,,main > div.main-container div > ul > li h4 > a,0,,main > div.main-container div > ul > li h4 > a,0,,https://www.magonlinelibrary.com,fine,
Mary Ann Liebert,,,rvest,https://home.liebertpub.com/publications/by-type/journals-print-online/714/,single,single,,,0,,,,,,body > main > div > div:nth-child(2) h4,1,"journalnames <- trimws(journalnames); journalnames <- gsub(""""\\s\\s+"""", """": """", journalnames)",body > main > div > div:nth-child(2) h4 > a,0,,https://home.liebertpub.com,fine,
Mashhad University of Medical Sciences,,26,rvest,https://pub.mums.ac.ir/en/,single,single,,,,,,,,,,,,,,,,,
Maximum Academic Press,,17,,https://www.maxapress.com/journals,,,,,,,,,,,a div.journal-info span,,,,,,,,
McGraw Hill,????,,,,,,,,,,,,,,,,,,,,,,
MDPI,,,rvest,https://www.mdpi.com/about/journals,single,single,,,,,,,,,.journal-name-cell > a > div,0,,.journal-name-cell > a,0,,https://www.mdpi.com,fine,
Medcrave,,,rvest,https://medcraveonline.com/journals,single,single,,,0,,,,,,"a[title=""""Click view Journal""""]",0,,"a[title=""""Click view Journal""""]",0,,https://medcraveonline.com,fine,
MedDocs Publishers,,72,rvest,https://meddocsonline.org/journals.html,single,single,,,0,,,,,,div.journals-list ul > li > a,0,,div.journals-list ul > li > a,0,,,,
Media Sphera Publishers,,30,rvest,https://www.mediasphera.ru/journals/,single,,,,,,,,,,div.magazinesPage-books-block > a,,,,,,,,
Medknow,,,rvest,https://www.medknow.com/journals.asp?tag=0,MULTIPLE,UNKNOWN,#content_inner > div:nth-child(3),.*?(?=Last),1,"results <- stringr::str_extract(results, """".{15,15}$""""); results <- stringr::str_extract(results, """"(?<=pg=).*?(?=\"""")"""")",1,,,,,,,,,,,COMPLICATED,
Medwin Publishers LLC,,79,rvest,https://medwinpublishers.com/journals.php,single,single,,,0,,,,,,div.panel-body div.col-md-8 > p.text-left.anch a,0,,div.panel-body div.col-md-8 > p.text-left.anch a,0,,https://medwinpublishers.com,,
Michigan Publishing,,58,,https://services.publishing.umich.edu/publications/#journals,,,,,,,,,,,,,,,,,,,
Minerva Medica,,,rvest,https://www.minervamedica.it/en/journals/index.php,single,single,,,0,,,,,,#Content > div:nth-child(5) > p,0,,#Content > div:nth-child(5) > p > a,0,,https://www.minervamedica.it/en/journals,fine,
MIT Press,,,rvest,https://direct.mit.edu/journals/pages/browse_by_title,single,single,,,0,,,,,,#mainContent > div > a,0,,#mainContent > div > a,0,,https://direct.mit.edu,fine,
Morgan & Claypool Publishers,,41,rvest,https://www.morganclaypool.com/page/ForthcomingSynthesisLectures,single,single,,,,,,,,,td.pageBody p > b,,,,,,,,
Muhammadiyah University Press,,25,rvest,https://journals.ums.ac.id/,single,single,,,0,,,,,,#content h3,0,,#content h3,0,,,,
Nakladatelske Stredisko Clsje Purkyne,,,rvest,https://www.prolekare.cz/en/journals,single,single,,,0,,,,,,ul > li > a.m-list-column__link,0,,ul > li > a.m-list-column__link,0,,https://www.prolekare.cz,fine,
National Inquiry Services Centre (NISC),,28,rvest,https://www.nisc.co.za/products/01/journals,single,,,,,,,,,,div.journalonly h3 > a,,,,,,,,
National Research Council of Canada,??? No central page,,,,,,,,,,,,,,,,,,,,,,
National University of Kyiv-Mohyla Academy,,17,,https://www.ukma.edu.ua/eng/index.php/research/publishing,,,,,,,,,,,,,,,,,,,
Natural Sciences Publishing Corporation,,32,rvest,https://www.naturalspublishing.com/Journals.asp,single,single,,,0,,,,,,td.Article a,0,,td.Article a,0,,https://www.naturalspublishing.com,,
Nauka,,,rvest,https://www.libnauka.ru/elektronnii-katalog/,MULTIPLE,9,,,0,,,https://www.libnauka.ru/elektronnii-katalog/?PAGEN_1=,,i,div.block-themes-category.block-themes-category-elems .edition__title,0,,div.block-themes-category.block-themes-category-elems .edition__title > a,0,,https://www.libnauka.ru,fine,RUSSIAN_ENCODING
New Prairie Press,,24,,https://newprairiepress.org/journals.html,,,,,,,,,,,#main h4 > a,,,,,,,,
Nicolaus Copernicus University in Torun,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Nomos Verlagsgesellschaft,,54,rvest,https://www.nomos-shop.de/nomos/rechtspraxis/zeitschriften/id/670/ext/product/items/100/,single,single,,,,,,,,,div.bookinfo > div.titel,0,,,,,,,
Nova Science,,,rvest,https://novapublishers.com/product-category/journals/,MULTIPLE,UNKNOWN,p.woocommerce-result-count:nth-child(3),(?<=of ).*?(?= ),0,,16,https://novapublishers.com/product-category/journals/page/,/,i,h2.woocommerce-loop-product__title,0,,li.product > a,0,,,fine,
Now Publishers,,17,,https://www.nowpublishers.com/Journal,,,,,,,,,,,,,,,,,,,
OAE Publishing,,36,rvest,https://www.oaepublish.com/about/journals,single,single,,,0,,,,,,div.media-body h4,0,,div.media-body h4,0,,,,
Old City Publishing,,24,,https://www.oldcitypublishing.com/journals/,,,,,,,,,,,div.content-block div.post-content a,,,,,,,,
OMICS,,,RSelenium,https://www.omicsonline.org/open-access-journals-list.php,single,single,,,0,,,,,,.card-body > nav > a,1,"journalnames <- gsub(""""( Hybrid)* Open Access Journal"""", """""""", journalnames)",.card-body > nav > a,0,,,fine,OMIT_URL_UNIQUE
Open Access Journals,,81,rvest,https://www.openaccessjournals.com/journals.html,single,single,,,0,,,,,,div.journalspage_cu ul li a,0,,div.journalspage_cu ul li a,0,,,,
Open Access Pub,,198,rvest,https://openaccesspub.org/openaccess-journals-a-to-z/all,single,,,,,,,,,,div.float-sm-left span,,,,,,,,
Open Access Text (OAT),,211,rvest,https://oatext.com/journals.php,single,,,,,,,,,,div.j-list-items ul li a,,,,,,,,
Open Library of Humanities,,27,rvest,https://www.openlibhums.org/journals/,single,single,,,0,,,,,,div.journal-description-box h2 a,0,,div.journal-description-box h2 a,0,,,,
Open Science Publishers LLP,,25,,https://www.ospublishers.com/journals.html,,,,,,,,,,,div.col-md-6 ul.flat-list li a,,,,,,,,
Openventio Publishers,,41,rvest,https://openventio.org/category/journal-index/,single,,,,,,,,,,ul a li,,,,,,,,
Optica,,25,,https://opg.optica.org/about.cfm,,,,,,,,,,,h3.journal-title,,,,,,,,
Oxford University Press,,,rvest,https://academic.oup.com/journals/pages/journals_a_to_z,single,single,,,0,,,,,,.secondaryContent a,1,journalnames <- journalnames[nchar(journalnames) > 1],.secondaryContent a,1,journalurl <- journalurl[nchar(journalurl) > 2],,fine,OMIT_ALL_UNIQUE
Pacini Editore SpA,??? No central page,,,,,,,,,,,,,,,,,,,,,,
PAGEPress,,,rvest,https://www.pagepressjournals.org/public/news/journals.html,single,single,,,0,,,,,,div.RichTextElement > div > ul > li > a,0,,div.RichTextElement > div > ul > li > a,0,,,fine,
Palgrave,,,rvest,https://www.palgrave.com/gp/journals,single,single,,,0,,,,,,div.cms-collection-list li > a > span,1,journalnames <- journalnames[nchar(journalnames) > 2],div.cms-collection-list li > a,1,"journalurl[grepl(""""(http.{0,1}://www.palgrave.com/.{5,5}|http://www.nature.com/palcomms/)"""", journalurl)]",,fine,
Panstwowe Wydawnictwo Naukowe,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Peertechz Publications,,101,rvest,https://www.peertechzpublications.com/journals,single,single,,,0,,,,,,div.pz-journal-btns > a.btn-primary,0,,div.pz-journal-btns > a.btn-primary,0,,,fine,
Peeters,,,rvest,https://poj.peeters-leuven.be/content.php,single,single,,,0,,,,,,a.listjournals,0,,a.listjournals,0,,https://poj.peeters-leuven.be,fine,
Penerbit UTM Press,,15,,https://penerbit.utm.my/list-of-journal/,,,,,,,,,,,div.elementor-widget-container h2.elementor-heading-title a,,,,,,,,
Penn State University Press,,,rvest,https://www.psupress.org/Journals/jnls_listing.html,single,single,,,0,,,,,,div.col > ul > li > a,0,,div.col > ul > li > a,0,,https://www.psupress.org/Journals/,fine,
PennWell Publishing Co.,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Pensoft Publishers,,,rvest,https://pensoft.net/browse-journals,single,single,,,0,,,,,,div.col-md-5.col-xs-12 > a,0,,div.col-md-5.col-xs-12 > a,0,,,fine,
"Penton Media, Inc.",??? Not scientific?,,,,,,,,,,,,,,,,,,,,,,
Peoples' Friendship University of Russia (RUDN University),,29,rvest,https://journals.rudn.ru/,single,,,,,,,,,,.similarJournals div.info h2 > a,,,,,,,,
Permanyer,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Peter Lang,,,{STH MISSING HERE},,,,,,,,,,,,,,,,,,,,
Philosophy Documentation Center,,,rvest,https://www.pdcnet.org/pdc/bvdb.nsf/journalindex?readform,single,single,,,0,,,,,,div.journalindexliste ul > li,0,,div.journalindexliste ul > li > a,0,,https://www.pdcnet.org,fine,
Pleiades,,,rvest,https://www.pleiades.online/en/journals/catalog/publisher/5/,single,single,,,0,,,,,,div.book_item_text h3,0,,div.book_item_link > div:nth-child(1) > a,,,https://www.pleiades.online,fine,
Polish Academy of Sciences,,102,rvest,https://journals.pan.pl/dlibra/journals-index?ipp=200,single,single,,,0,,,,,,li.indexes__list--item > a,0,,li.indexes__list--item > a,0,,,fine,
Pontificia Universidad Catolica del Peru,,,,,,,,,,,,,,,,,,,,,,,
"Pontificia Universidad Javeriana, Bogota",,81,rvest,https://revistas.javeriana.edu.co/,single,single,,,0,,,,,,h3.media-heading a,0,,h3.media-heading a,0,,,,
Premier Publishers,,78,rvest,https://premierpublishers.org/journals,single,single,,,0,,,,,,div.block-content dl.list dd > a,0,,div.block-content dl.list dd > a,0,,https://premierpublishers.org,,
Presses Universitaires de France,,,rvest,https://www.puf.com/revues,single,single,,,0,,,,,,article div.field-item ul > li > a,0,,article div.field-item ul > li > a,0,,https://www.puf.com,fine,OMIT_ALL_UNIQUE
Pulsus Group,,76,rvest,https://www.pulsus.com/journals.html,single,single,,,0,,,,,,div.col-md-10 > ul.list-unstyled > li > a,0,,div.col-md-10 > ul.list-unstyled > li > a,0,,,fine,
Quintessence Publishing Company,,25,,http://www.quintpub.com/journals/journals.php3,,,,,,,,,,,span.journalTitle,,,,,,,,
Raven Press,??? ,,,,,,,,,,,,,,,,,,,,,,
RCAAP,??? Not a publisher,,,,,,,,,,,,,,,,,,,,,,
Rila,,,RSelenium,https://journalsnew.rila.co/#,single,single,,,0,,,,,,h4,0,,div.wpb_single_image > figure.vc_figure > a.vc_single_image-wrapper,0,,https://journalsnew.rila.co,error because of https-security-certificate,
Royal Society of Chemistry,,,rvest,https://www.rsc.org/journals-books-databases/about-journals/journals-a-z/,single,single,,,0,,,,,,figcaption,0,,figcaption a,0,,https://www.rsc.org,fine,
SAE,,14,,https://www.sae.org/publications/journals,,,,,,,,,,,div.nx-blocked article.has-edit-button ul li,,,,,,,,
SAE International,,14,rvest,https://www.sae.org/publications/journals,single,,,,,,,,,,article.has-edit-button ul li a,,,,,,,,
SAGE,,,rvest,,MULTIPLE,13,,,0,,,https://journals.sagepub.com/action/showPublications?pageSize=100&startPage=,,i-1,#browsePublicationsForm > table td > a,0,,#browsePublicationsForm > table td > a,0,,https://journals.sagepub.com,fine,
Sami Publishing Company (SPC),,18,,http://www.samipubco.com/page_2404.html,,,,,,,,,,,,,,,,,,,
Scholarena,,76,rvest,http://www.scholarena.com/a-z-open-access-journals.php,single,single,,,0,,,,,,#myTable td > a,0,,#myTable td > a,0,,,,
Schweizerbart,,158,rvest,https://www.schweizerbart.de/series?af=topnav,single,,,,,,,,,,h1 > a,,,,,,,,
Sciedu Press,,29,rvest,https://www.sciedupress.com/journal/,single,single,,,0,,,,,,#intro table tbody tr td p a,0,,#intro table tbody tr td p a,0,,,,
Science and Education Publishing,,,rvest,http://www.sciepub.com/portal/Journals,single,single,,,0,,,,,,tbody > tr > td > a.fontlock,0,,tbody > tr > td > a.fontlock,0,,,fine,
Science Committee of the Ministry of Education and Science of the Republic of Kazakhstan,??? Not a publisher,,,,,,,,,,,,,,,,,,,,,,
Science Domain International,,,rvest,https://www.sciencedomain.org/journals,single,single,,,0,,,,,,section div.row div.col-sm-12 p,0,,section div.row div.col-sm-12 p,0,,,fine,
Science Publications,,,rvest,https://thescipub.com/journals,single,single,,,0,,,,,,div.journals > div.filterSection h3 > a,0,,div.journals > div.filterSection h3 > a,0,,https://thescipub.com,fine,
Science Publishing Corporation,,24,,https://www.sciencepubco.com/,,,,,,,,,,,div.boxx h3 > a.action1,,,,,,,,
Science Publishing Group,,273,rvest,https://www.sciencepublishinggroup.com/journal/journallistbytitle,single,single,,,0,,,,,,div.journalsandcate_item > a,0,,div.journalsandcate_item > a,0,,https://www.sciencepublishinggroup.com,fine,
SCIENCEDOMAIN International,,112,rvest,http://www.sciencedomain.org/journals.html,single,single,,,,,,,,,div.container.py-5 div.col-sm-12.jur-lst > p,0,,,,,,,
Scientific and Academic Publishing,,149,rvest,http://www.sapub.org/Journal/alljournalslist.aspx,single,single,,,0,,,,,,div.tabContent ul li a,0,,div.tabContent ul li a,0,,http://www.sapub.org/Journal,,
Scientific and Technical research Council of Turkey - TUBITAK/Turkiye Bilimsel ve Teknik Arastirma Kurumu,,12,,https://www.tubitak.gov.tr/en/publications/content-academic-journals,,,,,,,,,,,div.field-items .field-item ul li,,,,,,,,
Scientific Publishers,,6,,https://www.scientificpubonline.com/listing/journals,,,,,,,,,,,,,,,,,,,
Scientific Scholar,,50,rvest,https://scientificscholar.com/journals/,single,single,,,0,,,,,,div.j-details-name h2,0,,div.j-details-name h2,0,,,,
SCIRP,,,rvest,https://www.scirp.org/journal/indexbytitle.aspx,single,single,,,0,,,,,,div.content section div.mediabox ul li a,0,,div.content section div.mediabox ul li a,0,,,fine,
Scitech Central,,58,rvest,https://www.scitcentral.com/atozJournals,single,single,,,0,,,,,,a.journalLisCls,0,,a.journalLisCls,0,,https://www.scitcentral.com,,
SciTechnol,,,rvest,https://www.scitechnol.com/subscription-journals-list.php,single,single,,,,,,,,,ul.list-unstyled li a.font-size-16 strong,0,,ul.list-unstyled li a.font-size-16,0,,,fine,
Shahid Beheshti University of Medical Sciences,,74,,https://journals.sbmu.ac.ir/,,,,,,,,,,,h3.media-heading a,,,,,,,,
Shiraz University of Medical Sciences,,51,rvest,https://farhangi.shirazu.ac.ir/nashriyat-elmi/,single,single,,,,,,,,,div.entry-content img,,,,,,,,
Smart Science and Technology,,4,,https://www.journals.smartscitech.com/,,,,,,,,,,,h3.panel-title > a,,,,,,,,
Societa Italiana di Fisica,,5,,https://www.sif.it/riviste/sif,,,,,,,,,,,h5.magazine-title a,,,,,,,,
Society for Industrial and Applied Mathematics,,18,,https://www.siam.org/publications/journals,,,,,,,,,,,h5,,,,,,,,
SPIE,,14,rvest,https://www.spiedigitallibrary.org/journals,single,,,,,,,,,,h4 a.JournalLandingLink,,,,,,,,
Springer,,,{STH MISSING HERE},https://link.springer.com/journals/a/1,,,,,,,,,,,,,,,,,,COMPLICATED (ALPHABET),
Springer Nature,,,rvest,https://www.nature.com/siteindex,single,single,,,0,,,,,,.grid-8 > div:nth-child(4) li,0,,.grid-8 > div:nth-child(4) li > a,0,,https://www.nature.com,fine,
Sweet and Maxwell,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Symbiosis Online Publishing,,70,rvest,https://symbiosisonlinepublishing.com/journals.php,single,single,,,0,,,,,,div.panel-title > a,0,,div.panel-title > a,0,,,,
Synergy Publishers,,15,,https://synergypublishers.com/#,,,,,,,,,,,,,,,,,,,
Szczecin University Press,,31,,https://wn.usz.edu.pl/en/about-us/,,,,,,,,,,,div.wpb_wrapper ul > li,,,,,,,,
Tarbiat Modares University,,45,,https://journals.modares.ac.ir/en#,,,,,,,,,,,h2 a,,,,,,,,
Taylor & Francis,,,{STH MISSING HERE},https://www.tandfonline.com/action/showPublications?pubType=journal,,,,,,,,,,,,,,,,,,COMPLICATED (ALPHABET),
Tech Science Press,,28,rvest,https://www.techscience.com/journals,single,,,,,,,,,,ul.prtlist-body > li > a,,,,,,,,
Tehran University of Medical Sciences,,,rvest,https://journals.tums.ac.ir/en,single,single,,,0,,,,,,ul > li > h2 > a,0,,ul > li > h2 > a,0,,,fine,
Termedia,,,rvest,https://www.termedia.pl/Journals,single,single,,,0,,,,,,div.prodsFeedList > table a,1,"journalnames <- gsub(""""IF.[0-9].[0-9]{2,4}"""", """""""", journalnames)",div.prodsFeedList > table a,0,,https://www.termedia.pl/,fine,
The British Psychological Society,,11,,https://www.bps.org.uk/publications/bps-journals,,,,,,,,,,,,,,,,,,,
The Geological Society,,8,,https://www.geolsoc.org.uk/journals,,,,,,,,,,,,,,,,,,,
Thieme,,,rvest,https://www.thieme.de/de/thieme-gruppe/abo-zeitschriften-25118.htm,single,single,,,0,,,,,,#newspaper-list_25119 > ul > li strong,0,,#newspaper-list_25119 > ul > li > ul > li:nth-child(1) a,1,"journalurl <- ifelse(grepl('^https://', journalurl), journalurl, paste0('https://www.thieme.de', journalurl)); journalurl <- Filter(function(x) !any(grepl(""""shop/"""", x)), journalurl)",,error with number of journals/links,
Thomson Reuters,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Trans Tech Publications,,32,,https://www.scientific.net/,,,,,,,,,,,div.panel a.normal-large-text div.element-list-text,,,,,,,,
Tsinghua University Press,,44,,http://www.tsinghuajournals.org/EN/tup_en/home.shtml,,,,,,,,,,,span.J_WenZhang table.ke-zeroborder tr td a img,,,,,,,,
Turkiye Klinikleri,,24,,https://www.turkiyeklinikleri.com/publications/en-index.html,,,,,,,,,,,#journalListing div.titleLong > a,,,,,,,,
Ubiquity Press,,,rvest,https://www.ubiquitypress.com/site/journals/,single,single,,,0,,,,,,ul.journal-list > li h2,0,,ul.journal-list > li a.series-button,0,,,fine,
Ubiquity Press,,,rvest,https://www.ubiquitypress.com/site/journals/hosted/,single,single,,,0,,,,,,ul.journal-list > li h2,1,"journalnames <- journalnames[!journalnames %in% """"Impact on Policy and Practice""""]",ul.journal-list > li a.series-button,0,,,fine,
UCL Press,,14,,https://www.uclpress.co.uk/pages/journals,,,,,,,,,,,table a img,,,,,,,,
UNISA Press,,31,rvest,https://unisapressjournals.co.za/,single,,,,,,,,,,div.body h3 > a,,,,,,,,
Universidad Autonoma de Madrid,,72,,https://revistas.uam.es/,,,,,,,,,,,div.grid.journals div.tsv_thumb a img,,,,,,,,
Universidad Complutense Madrid,,,rvest,https://revistas.ucm.es/,single,single,,,0,,,,,,#materias div.panel-body > div > a,0,,#materias div.panel-body > div > a,0,,https://revistas.ucm.es,fine,
Universidad de Alicante,,38,,https://revistes.ua.es/,,,,,,,,,,,#pared_revistas ul > li > h3 > a,,,,,,,,
Universidad de Antioquia,,62,,https://revistas.udea.edu.co/,,,,,,,,,,,h3.site-journal-title,,,,,,,,
Universidad de Buenos Aires,,168,rvest,http://repositoriouba.sisbi.uba.ar/gsdl/cgi-bin/library.cgi?e=p-10000-00---off-0--00-----0-10-0---0---0direct-10----4-------0-1l--10-es-Zz-1---20-home---0--1-00-00--4----0-0-01-00-0utfZz-8-00&a=p&p=about&c=revis,single,single,,,,,,,,,tr td center b a,,,,,,,,
Universidad de Chile,,,rvest,https://revistas.uchile.cl/,single,single,,,0,,,,,,ul.rslides > li > div > a > span.hi,0,,ul.rslides > li > div > a,0,,,fine,
Universidad de Costa Rica,,,rvest,https://revistas.ucr.ac.cr/,single,single,,,0,,,,,,div.site-journal-body > h3.site-journal-title > a,0,,div.site-journal-body > h3.site-journal-title > a,0,,,fine,
Universidad de Granada,,40,rvest,https://revistaseug.ugr.es/,single,single,,,0,,,,,,h3.media-heading > a,0,,h3.media-heading > a,0,,,,
Universidad de Murcia,,,rvest,https://revistas.um.es/,single,single,,,0,,,,,,div.journals > ul > li h3 > a,0,,div.journals > ul > li h3 > a,0,,,fine,
Universidad de Navarra,,21,,https://revistas.unav.edu/,,,,,,,,,,,h3.media-heading > a,,,,,,,,
Universidad del Pais Vasco,,33,,https://ojs.ehu.eus/,,,,,,,,,,,ul.media-list h3.media-heading > a,,,,,,,,
Universidad do Vale de Rio dos Sinos (UNISINOS),,24,,http://revistas.unisinos.br/,,,,,,,,,,,div.body h3 > a,,,,,,,,
Universidad Externado de Colombia,,21,,https://revistas.uexternado.edu.co/,,,,,,,,,,,ul.media-list h3.media-heading > a,,,,,,,,
